S.no,Time,Ratings,Ranking
590,2022-02-01 10:43:19.406708+05:30,150,61
591,2022-02-01 11:13:19.520635+05:30,150,61
592,2022-02-01 11:43:24.708262+05:30,150,61
593,2022-02-01 12:13:23.757660+05:30,150,61
594,2022-02-01 12:43:24.977928+05:30,150,75
595,2022-02-01 13:13:23.577183+05:30,150,75
598,2022-02-01 15:43:25.088241+05:30,150,56
600,2022-02-01 21:13:19.598579+05:30,150,54
604,2022-02-02 10:00:49.084875+05:30,150,72
606,2022-02-02 10:43:19.340175+05:30,150,72
607,2022-02-02 11:13:19.408970+05:30,150,72
609,2022-02-02 12:13:19.436876+05:30,150,72
610,2022-02-02 12:43:19.553191+05:30,150,72
611,2022-02-02 13:13:19.483395+05:30,150,75
613,2022-02-02 14:13:19.421796+05:30,150,75
614,2022-02-02 14:43:19.847464+05:30,150,75
615,2022-02-02 15:13:19.257082+05:30,150,75
617,2022-02-04 13:08:39.809257+05:30,150,74
618,2022-02-04 13:37:40.711042+05:30,150,74
619,2022-02-04 14:07:22.131500+05:30,150,74
624,2022-02-04 16:37:21.337290+05:30,150,94
626,2022-02-04 17:42:58.357264+05:30,150,94
627,2022-02-04 18:10:52.865760+05:30,150,94
628,2022-02-04 18:37:21.307551+05:30,150,94
636,2022-02-04 22:37:26.066143+05:30,151,100
637,2022-02-04 23:07:21.269894+05:30,151,100
638,2022-02-04 23:37:25.491351+05:30,151,100
639,2022-02-05 00:07:21.388498+05:30,151,100
640,2022-02-05 00:37:25.825494+05:30,151,100
641,2022-02-05 11:33:10.820786+05:30,151,66
642,2022-02-05 12:02:22.783358+05:30,151,66
644,2022-02-05 17:02:22.561889+05:30,151,69
645,2022-02-05 17:32:21.459915+05:30,151,82
647,2022-02-05 19:02:22.382242+05:30,151,82
648,2022-02-05 19:32:22.023723+05:30,151,82
649,2022-02-05 20:02:22.747345+05:30,151,82
650,2022-02-05 20:32:21.982665+05:30,151,82
651,2022-02-05 21:02:21.562494+05:30,151,82
653,2022-02-05 22:02:21.571796+05:30,151,90
654,2022-02-05 22:32:22.030797+05:30,151,90
655,2022-02-05 23:02:21.605191+05:30,151,90
656,2022-02-05 23:32:21.479258+05:30,151,90
657,2022-02-06 00:02:21.613863+05:30,151,90
658,2022-02-06 00:32:21.587984+05:30,151,90
659,2022-02-06 01:02:21.438933+05:30,151,100
660,2022-02-06 01:32:21.562879+05:30,151,100
661,2022-02-06 08:00:42.166015+05:30,151,106
662,2022-02-06 08:02:20.280430+05:30,151,106
664,2022-02-06 10:32:20.590748+05:30,151,104
665,2022-02-06 11:02:21.586647+05:30,151,104
666,2022-02-06 11:32:21.157880+05:30,151,104
667,2022-02-06 12:02:20.782918+05:30,151,104
668,2022-02-06 12:32:20.590370+05:30,151,104
669,2022-02-06 13:02:21.956581+05:30,151,104
670,2022-02-06 13:32:22.548323+05:30,151,104
671,2022-02-06 14:02:22.056574+05:30,151,104
672,2022-02-06 14:32:21.925610+05:30,151,104
674,2022-02-06 15:32:22.312246+05:30,151,104
675,2022-02-06 16:02:28.019977+05:30,151,104
676,2022-02-06 16:32:22.398948+05:30,151,104
677,2022-02-06 17:02:21.993593+05:30,151,104
678,2022-02-06 17:32:22.045729+05:30,151,104
679,2022-02-06 18:02:20.666930+05:30,151,111
680,2022-02-06 18:32:21.248201+05:30,151,111
682,2022-02-06 20:32:20.926233+05:30,151,111
683,2022-02-06 21:02:21.017713+05:30,151,111
685,2022-02-07 00:32:21.404771+05:30,151,110
686,2022-02-07 09:57:58.948544+05:30,151,129
687,2022-02-07 10:02:20.553932+05:30,151,129
688,2022-02-07 10:32:20.660637+05:30,151,126
689,2022-02-07 11:02:20.846734+05:30,151,126
690,2022-02-10 09:19:36.629271+05:30,152,87
691,2022-02-10 09:22:27.196364+05:30,152,87
692,2022-02-10 09:52:13.744519+05:30,152,87
693,2022-02-10 10:22:12.983601+05:30,152,87
694,2022-02-10 10:52:05.135188+05:30,152,87
695,2022-02-10 11:22:11.738978+05:30,152,86
696,2022-02-10 11:52:07.528181+05:30,152,86
697,2022-02-10 12:22:09.827696+05:30,152,86
699,2022-02-10 13:22:08.435710+05:30,152,86
700,2022-02-10 13:52:09.516580+05:30,152,86
701,2022-02-10 14:22:05.376029+05:30,152,56
703,2022-02-10 17:55:40.965394+05:30,152,56
704,2022-02-10 18:27:42.001093+05:30,152,56
706,2022-02-10 19:39:42.744789+05:30,152,71
707,2022-02-10 19:52:05.053885+05:30,152,71
708,2022-02-10 20:22:05.321619+05:30,152,71
709,2022-02-10 20:52:05.332651+05:30,152,71
712,2022-02-10 21:56:17.492220+05:30,152,71
713,2022-02-11 10:27:12.120227+05:30,152,93
714,2022-02-11 10:55:56.705663+05:30,152,93
715,2022-02-11 11:25:52.801228+05:30,152,92
716,2022-02-11 11:55:57.370868+05:30,152,92
717,2022-02-11 12:25:56.802541+05:30,152,92
718,2022-02-11 13:00:31.259298+05:30,152,92
719,2022-02-11 13:31:30.462893+05:30,152,92
720,2022-02-11 14:00:26.629516+05:30,152,92
721,2022-02-11 14:31:34.081052+05:30,152,92
722,2022-02-11 15:01:29.448810+05:30,152,100
723,2022-02-11 15:30:26.829569+05:30,152,100
724,2022-02-11 16:01:29.878207+05:30,152,100
725,2022-02-11 16:37:52.113057+05:30,152,100
726,2022-02-11 16:57:11.657232+05:30,152,100
727,2022-02-11 17:31:34.602512+05:30,152,100
728,2022-02-11 17:59:27.216945+05:30,152,100
731,2022-02-11 21:55:54.038038+05:30,152,104
737,2022-02-12 19:56:01.135501+05:30,153,104
738,2022-02-12 20:25:57.023845+05:30,153,104
740,2022-02-12 21:25:53.069335+05:30,153,104
742,2022-02-13 10:56:11.336167+05:30,153,119
743,2022-02-13 11:25:56.223584+05:30,153,119
746,2022-02-13 18:01:34.079040+05:30,153,120
747,2022-02-13 18:31:33.785005+05:30,153,120
750,2022-02-13 20:25:57.031643+05:30,153,76
751,2022-02-13 20:55:56.758103+05:30,153,76
754,2022-02-14 08:55:53.444415+05:30,153,98
755,2022-02-14 09:25:52.760890+05:30,153,98
758,2022-02-14 10:55:53.254042+05:30,153,98
759,2022-02-14 11:25:52.937273+05:30,153,98
760,2022-02-14 11:55:56.765247+05:30,153,96
761,2022-02-15 10:34:22.720221+05:30,154,82
762,2022-02-15 11:09:35.642618+05:30,154,82
763,2022-02-15 11:39:35.096545+05:30,154,82
764,2022-02-15 12:09:37.105612+05:30,154,82
766,2022-02-15 17:34:01.172513+05:30,154,98
767,2022-02-15 18:03:58.304549+05:30,154,98
